TP_GRAU_ACADEMICO;IN_GRATUITO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_SIT_TRANCADA;QT_SIT_TRANSFERIDO;QT_SIT_FALECIDO;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;PERC_DESVINCULADO
3.0;0;1;122;50;72;0;115;0;7;0;239;47;192;0;232;0;7;0;102;14;88;11;91;95;95;95;0;0;0;0;0;7;0;0;0;68;19;11;2;2;0;0;15;10;24;2;0;51;99;8;91;0;99;0;67;19;5;6;2;0;0;4;6;16;1;0;72;32;2;30;0;32;0;24;7;1;0;0;0;0;0;0;3;0;0;29;102;0;99;0;32;0;0;0;0;0;8;0;0;0;0;8;8;0;0;0;11;0;0;0;0;11;11;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;99;3;0;98;1;0;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8282828282828283
1.0;0;1;462;231;231;0;460;0;2;0;179;155;24;0;177;0;2;0;58;9;49;54;4;56;56;56;0;0;0;0;0;2;0;0;2;46;6;2;1;1;0;0;9;0;9;0;0;40;149;18;131;33;116;0;101;42;3;2;1;0;0;13;1;11;1;0;123;62;7;55;0;62;0;42;20;0;0;0;0;0;4;0;4;1;0;53;58;0;149;0;62;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5;0;0;0;0;5;5;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;57;1;0;119;30;0;46;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3221476510067114
3.0;0;1;107;50;57;0;100;0;7;0;240;68;172;0;225;0;15;0;213;29;184;60;153;202;100;102;0;0;0;0;0;11;0;0;1;191;14;5;1;1;0;0;66;14;86;3;1;43;320;54;266;88;232;1;268;32;13;5;1;0;0;100;24;126;3;1;66;28;8;20;6;22;0;22;4;2;0;0;0;0;10;2;10;0;0;6;213;0;320;0;28;0;1;0;0;0;33;3;3;0;0;31;30;1;0;0;39;5;5;0;0;35;34;1;0;0;4;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;132;81;0;197;123;0;17;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.075
1.0;0;1;94;94;0;0;90;0;4;0;156;156;0;0;137;0;19;0;145;37;108;145;0;133;64;69;0;0;0;0;0;12;0;0;0;143;1;1;0;0;0;0;64;4;37;2;0;38;356;63;293;356;0;0;334;15;4;2;1;0;0;165;15;101;8;0;67;30;3;27;30;0;0;25;3;1;1;0;0;0;20;1;8;1;0;0;145;0;356;0;30;0;0;0;0;0;34;7;7;0;0;27;25;2;0;0;58;16;16;0;0;42;39;2;1;0;6;2;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;15;0;91;54;0;186;170;0;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07303370786516854
1.0;0;1;108;53;55;0;100;0;8;0;260;182;78;0;245;0;15;0;236;44;192;168;68;229;117;112;0;0;0;0;0;7;0;0;1;226;5;3;0;1;0;0;113;9;79;1;0;34;461;72;389;331;130;1;433;16;7;2;2;0;0;217;19;159;3;0;63;18;3;15;18;0;0;17;1;0;0;0;0;0;11;0;6;1;0;0;236;0;461;0;18;0;0;0;0;0;37;5;5;0;0;32;32;0;0;0;62;12;12;0;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;0;153;83;0;259;202;0;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06941431670281996
3.0;0;1;545;323;222;0;450;0;95;0;1649;725;924;0;932;0;717;0;510;98;412;294;216;415;415;164;0;46;0;0;0;95;0;0;0;426;58;13;6;5;2;0;199;68;217;5;3;18;722;123;599;401;321;0;590;91;16;8;13;3;1;301;89;300;7;6;19;141;20;121;73;68;0;103;27;5;1;4;1;0;63;11;62;1;0;4;509;1;718;4;139;2;21;13;16;2;136;3;3;0;0;134;13;0;8;113;266;6;6;0;0;262;24;1;29;211;78;2;2;0;0;77;6;0;11;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;4;0;411;99;0;596;126;0;124;17;0;0;0;0;0;0;0;0;0;377;186;309;77;0;0;0;0;0.2590027700831025
1.0;0;1;337;196;141;0;300;0;37;0;1091;622;469;0;604;0;487;0;230;29;201;172;58;193;193;86;0;28;0;0;0;37;0;0;0;216;9;3;1;1;0;0;92;29;99;2;0;8;542;61;481;358;184;0;494;31;12;1;3;1;0;235;48;239;7;1;12;27;4;23;12;15;0;19;3;3;1;0;1;0;14;1;10;2;0;0;229;1;541;1;27;0;11;4;11;1;84;2;2;0;0;82;1;0;15;66;244;4;4;0;0;240;16;0;31;196;7;1;1;0;0;6;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;189;41;0;437;105;0;20;7;0;0;0;0;0;0;0;0;0;312;61;279;23;0;0;0;0;0.12915129151291513
1.0;0;1;115;0;115;0;100;0;15;0;274;0;274;0;146;0;128;0;65;18;47;0;65;50;50;19;0;7;0;0;0;15;0;0;0;45;11;5;4;0;0;0;27;6;28;2;0;2;157;34;123;0;157;0;110;31;8;5;3;0;0;59;12;81;2;0;3;24;2;22;0;24;0;13;6;3;1;1;0;0;9;2;12;0;0;1;65;0;157;0;24;0;3;2;3;0;14;0;0;0;0;14;4;0;0;10;63;0;0;0;0;63;16;1;15;31;16;0;0;0;0;16;5;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;53;12;0;128;29;0;18;6;0;0;0;0;0;0;0;0;0;116;12;89;21;0;0;0;0;0.28662420382165604
3.0;0;1;440;220;220;0;240;0;100;100;647;321;326;0;447;0;100;100;95;20;75;50;45;79;37;42;0;0;0;0;0;16;0;0;0;73;11;5;3;3;0;0;42;6;35;2;0;10;181;26;155;45;136;0;117;37;13;9;5;0;0;78;11;78;6;0;8;29;4;25;0;29;0;13;12;3;1;0;0;0;12;0;14;3;0;0;95;0;181;0;29;0;0;0;0;0;91;0;0;0;0;91;4;1;91;0;177;0;0;0;0;177;3;4;177;0;29;0;0;0;0;29;1;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;6;0;57;38;0;115;66;0;18;11;0;0;0;0;0;0;0;0;0;22;8;20;3;0;0;0;0;0.27071823204419887
3.0;0;1;278;100;178;0;200;0;78;0;1048;166;882;0;970;0;78;0;127;20;107;50;77;122;58;64;0;0;0;0;0;5;0;0;0;109;7;7;2;2;0;0;35;8;72;0;1;11;243;43;200;44;199;0;209;14;13;3;4;0;0;69;14;141;2;1;16;41;7;34;0;41;0;34;3;4;0;0;0;0;12;1;27;0;0;1;127;0;243;0;41;0;2;1;2;0;127;0;0;0;0;127;2;3;127;0;241;0;0;0;0;241;6;6;241;0;41;0;0;0;0;41;1;2;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;2;0;100;27;0;195;48;0;27;14;0;0;0;0;0;0;0;0;0;76;50;67;6;0;0;0;0;0.22633744855967078
