TP_GRAU_ACADEMICO;IN_GRATUITO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_SIT_TRANCADA;QT_SIT_FALECIDO;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;TADA
1.0;1.0;1.0;114.0;114.0;0.0;0.0;80.0;0.0;34.0;0.0;1765.0;1765.0;0.0;0.0;1665.0;0.0;100.0;0.0;101.0;18.0;83.0;101.0;0.0;76.0;19.0;18.0;39.0;0.0;0.0;0.0;0.0;19.0;0.0;6.0;0.0;95.0;5.0;1.0;0.0;0.0;0.0;0.0;49.0;13.0;36.0;3.0;0.0;0.0;511.0;72.0;439.0;511.0;0.0;0.0;396.0;92.0;16.0;2.0;5.0;0.0;0.0;185.0;39.0;279.0;8.0;0.0;0.0;52.0;7.0;45.0;52.0;0.0;0.0;26.0;23.0;2.0;0.0;1.0;0.0;0.0;27.0;2.0;22.0;1.0;0.0;0.0;98.0;3.0;506.0;5.0;51.0;1.0;9.0;1.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;28.0;18.0;1.0;24.0;0.0;258.0;217.0;95.0;5.0;110.0;0.0;23.0;22.0;3.0;0.0;10.0;0.0;11.0;0.0;68.0;33.0;0.0;360.0;151.0;0.0;26.0;26.0;0.0;0.0;0.0;0.0;0.0;113.0;21.0;112.0;7.0;205.0;22.0;200.0;15.0;2.0;0.0;2.0;0.0;0.09259259259
1.0;1.0;1.0;118.0;118.0;0.0;0.0;80.0;0.0;38.0;0.0;653.0;653.0;0.0;0.0;615.0;0.0;38.0;0.0;93.0;15.0;78.0;93.0;0.0;73.0;18.0;17.0;38.0;0.0;0.0;0.0;0.0;19.0;0.0;1.0;1.0;88.0;2.0;1.0;0.0;1.0;0.0;0.0;48.0;7.0;36.0;2.0;0.0;0.0;462.0;61.0;401.0;462.0;0.0;1.0;380.0;64.0;8.0;7.0;2.0;0.0;0.0;149.0;24.0;283.0;5.0;1.0;0.0;39.0;5.0;34.0;39.0;0.0;0.0;24.0;12.0;2.0;0.0;1.0;0.0;0.0;16.0;1.0;21.0;1.0;0.0;0.0;93.0;0.0;458.0;4.0;37.0;2.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;21.0;17.0;0.0;18.0;0.0;219.0;181.0;90.0;1.0;84.0;0.0;9.0;9.0;1.0;0.0;3.0;0.0;9.0;0.0;64.0;29.0;0.0;312.0;150.0;0.0;16.0;23.0;0.0;0.0;0.0;0.0;0.0;88.0;11.0;86.0;3.0;144.0;11.0;140.0;6.0;3.0;0.0;3.0;1.0;0.06451612903
1.0;1.0;1.0;12.0;12.0;0.0;0.0;0.0;0.0;12.0;0.0;82.0;82.0;0.0;0.0;0.0;0.0;82.0;0.0;9.0;1.0;8.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;5.0;3.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;4.0;0.0;0.0;0.0;1364.0;220.0;1144.0;1364.0;0.0;0.0;1152.0;180.0;16.0;11.0;4.0;1.0;0.0;435.0;82.0;834.0;12.0;1.0;0.0;109.0;14.0;95.0;109.0;0.0;0.0;58.0;44.0;4.0;3.0;0.0;0.0;0.0;43.0;11.0;54.0;1.0;0.0;0.0;9.0;0.0;1358.0;6.0;108.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;0.0;608.0;538.0;257.0;1.0;156.0;0.0;45.0;37.0;24.0;0.0;11.0;0.0;10.0;0.0;7.0;2.0;0.0;883.0;481.0;0.0;51.0;58.0;0.0;0.0;0.0;0.0;0.0;194.0;2.0;190.0;10.0;547.0;5.0;539.0;37.0;3.0;0.0;3.0;0.0;0.0594795538999999
3.0;1.0;1.0;120.0;60.0;60.0;0.0;120.0;0.0;0.0;0.0;1992.0;762.0;1230.0;0.0;1992.0;0.0;0.0;0.0;110.0;33.0;77.0;50.0;60.0;110.0;0.0;110.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.0;21.0;11.0;5.0;8.0;2.0;0.0;32.0;17.0;57.0;0.0;1.0;3.0;329.0;89.0;240.0;158.0;171.0;0.0;182.0;80.0;28.0;16.0;17.0;5.0;1.0;96.0;49.0;169.0;1.0;3.0;11.0;38.0;7.0;31.0;23.0;15.0;0.0;20.0;9.0;6.0;2.0;1.0;0.0;0.0;12.0;4.0;20.0;0.0;0.0;2.0;110.0;0.0;329.0;0.0;38.0;0.0;22.0;10.0;22.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;61.0;25.0;9.0;33.0;0.0;167.0;152.0;72.0;17.0;65.0;0.0;12.0;12.0;9.0;1.0;7.0;0.0;34.0;0.0;85.0;25.0;0.0;264.0;65.0;0.0;29.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0143884892099999
1.0;1.0;1.0;97.0;0.0;97.0;0.0;40.0;0.0;56.0;1.0;276.0;0.0;276.0;0.0;254.0;0.0;20.0;2.0;51.0;12.0;39.0;0.0;51.0;39.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;31.0;8.0;5.0;6.0;1.0;0.0;0.0;21.0;10.0;16.0;0.0;0.0;4.0;116.0;16.0;100.0;29.0;87.0;0.0;77.0;21.0;8.0;5.0;4.0;1.0;0.0;49.0;19.0;39.0;0.0;0.0;9.0;8.0;0.0;8.0;8.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;2.0;0.0;0.0;1.0;51.0;0.0;116.0;0.0;8.0;0.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;9.0;8.0;2.0;0.0;0.0;49.0;34.0;13.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;42.0;9.0;0.0;98.0;18.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;6.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0408163265299999
1.0;1.0;1.0;75.0;75.0;0.0;0.0;40.0;0.0;35.0;0.0;710.0;710.0;0.0;0.0;569.0;0.0;141.0;0.0;45.0;8.0;37.0;45.0;0.0;38.0;1.0;37.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;36.0;6.0;0.0;2.0;0.0;0.0;1.0;22.0;3.0;14.0;0.0;0.0;6.0;128.0;22.0;106.0;128.0;0.0;0.0;104.0;20.0;0.0;3.0;0.0;0.0;1.0;64.0;9.0;46.0;1.0;0.0;8.0;7.0;0.0;7.0;7.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;1.0;45.0;0.0;128.0;0.0;7.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;23.0;5.0;0.0;8.0;0.0;49.0;49.0;20.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;35.0;10.0;0.0;87.0;41.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;19.0;6.0;17.0;0.0;18.0;1.0;18.0;0.0;0.0;0.0;0.0;0.0;0.1632653060999999
1.0;1.0;1.0;38.0;38.0;0.0;0.0;37.0;0.0;1.0;0.0;282.0;282.0;0.0;0.0;278.0;0.0;4.0;0.0;36.0;6.0;30.0;36.0;0.0;35.0;4.0;31.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;33.0;3.0;0.0;0.0;0.0;0.0;0.0;24.0;3.0;9.0;0.0;0.0;0.0;138.0;13.0;125.0;138.0;0.0;0.0;108.0;21.0;6.0;1.0;2.0;0.0;0.0;87.0;8.0;40.0;1.0;0.0;2.0;7.0;0.0;7.0;7.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;36.0;0.0;138.0;0.0;7.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;22.0;14.0;0.0;81.0;57.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;58.0;12.0;55.0;2.0;27.0;1.0;26.0;1.0;0.0;0.0;0.0;0.0;0.08333333333
1.0;1.0;1.0;60.0;0.0;60.0;0.0;44.0;0.0;16.0;0.0;101.0;0.0;101.0;0.0;85.0;0.0;16.0;0.0;43.0;11.0;32.0;0.0;43.0;39.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;36.0;4.0;1.0;1.0;0.0;1.0;0.0;19.0;4.0;19.0;0.0;0.0;1.0;186.0;42.0;144.0;0.0;186.0;0.0;133.0;31.0;10.0;6.0;5.0;1.0;0.0;67.0;13.0;83.0;2.0;0.0;21.0;16.0;6.0;10.0;0.0;16.0;0.0;11.0;4.0;0.0;0.0;1.0;0.0;0.0;5.0;2.0;8.0;0.0;0.0;1.0;43.0;0.0;186.0;0.0;16.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;33.0;13.0;1.0;17.0;0.0;6.0;6.0;2.0;0.0;3.0;0.0;14.0;0.0;37.0;6.0;0.0;172.0;14.0;0.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;81.0;2.0;78.0;3.0;82.0;2.0;79.0;3.0;0.0;0.0;0.0;0.0;0.0285714285699999
1.0;1.0;1.0;114.0;114.0;0.0;0.0;82.0;0.0;32.0;0.0;1886.0;1886.0;0.0;0.0;1183.0;0.0;703.0;0.0;107.0;18.0;89.0;107.0;0.0;78.0;12.0;66.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;1.0;1.0;95.0;6.0;3.0;1.0;1.0;0.0;0.0;55.0;5.0;41.0;3.0;0.0;3.0;430.0;56.0;374.0;430.0;0.0;1.0;344.0;70.0;12.0;1.0;1.0;1.0;0.0;225.0;28.0;158.0;3.0;1.0;15.0;27.0;4.0;23.0;27.0;0.0;0.0;15.0;11.0;1.0;0.0;0.0;0.0;0.0;13.0;1.0;12.0;0.0;0.0;1.0;106.0;1.0;424.0;6.0;27.0;0.0;15.0;5.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;40.0;20.0;3.0;18.0;0.0;185.0;185.0;100.0;6.0;81.0;0.0;13.0;13.0;6.0;0.0;4.0;0.0;47.0;0.0;50.0;57.0;0.0;222.0;208.0;0.0;16.0;11.0;0.0;0.0;0.0;0.0;0.0;24.0;3.0;17.0;4.0;83.0;10.0;79.0;8.0;1.0;0.0;1.0;0.0;0.1666666667
1.0;1.0;1.0;85.0;85.0;0.0;0.0;82.0;0.0;3.0;0.0;869.0;869.0;0.0;0.0;640.0;0.0;229.0;0.0;80.0;9.0;71.0;80.0;0.0;77.0;8.0;69.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;76.0;2.0;0.0;0.0;0.0;1.0;0.0;43.0;7.0;27.0;2.0;0.0;1.0;410.0;53.0;357.0;318.0;92.0;1.0;299.0;85.0;14.0;4.0;4.0;2.0;1.0;207.0;27.0;154.0;5.0;1.0;16.0;39.0;9.0;30.0;24.0;15.0;0.0;10.0;25.0;2.0;1.0;1.0;0.0;0.0;19.0;1.0;15.0;1.0;0.0;3.0;80.0;0.0;406.0;4.0;39.0;0.0;10.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;35.0;17.0;1.0;17.0;0.0;162.0;162.0;92.0;5.0;80.0;0.0;13.0;13.0;4.0;0.0;6.0;0.0;71.0;0.0;38.0;42.0;0.0;196.0;214.0;0.0;17.0;22.0;0.0;0.0;0.0;0.0;0.0;24.0;3.0;19.0;3.0;58.0;3.0;50.0;5.0;3.0;0.0;3.0;0.0;0.1111111110999999
