TP_GRAU_ACADEMICO;CO_CURSO;IN_GRATUITO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_SIT_TRANCADA;QT_SIT_FALECIDO;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA
1.0;127;1;1;114;114;0;0;80;0;34;0;1765;1765;0;0;1665;0;100;0;101;18;83;101;0;76;19;18;39;0;0;0;0;19;0;6;0;95;5;1;0;0;0;0;49;13;36;3;0;0;511;72;439;511;0;0;396;92;16;2;5;0;0;185;39;279;8;0;0;52;7;45;52;0;0;26;23;2;0;1;0;0;27;2;22;1;0;0;98;3;506;5;51;1;9;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;28;18;1;24;0;258;217;95;5;110;0;23;22;3;0;10;0;11;0;68;33;0;360;151;0;26;26;0;0;0;0;0;113;21;112;7;205;22;200;15;2;0;2;0
1.0;122204;1;1;118;118;0;0;80;0;38;0;653;653;0;0;615;0;38;0;93;15;78;93;0;73;18;17;38;0;0;0;0;19;0;1;1;88;2;1;0;1;0;0;48;7;36;2;0;0;462;61;401;462;0;1;380;64;8;7;2;0;0;149;24;283;5;1;0;39;5;34;39;0;0;24;12;2;0;1;0;0;16;1;21;1;0;0;93;0;458;4;37;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;21;17;0;18;0;219;181;90;1;84;0;9;9;1;0;3;0;9;0;64;29;0;312;150;0;16;23;0;0;0;0;0;88;11;86;3;144;11;140;6;3;0;3;1
1.0;112891;1;1;12;12;0;0;0;0;12;0;82;82;0;0;0;0;82;0;9;1;8;9;0;0;0;0;0;0;0;0;0;9;0;0;0;5;3;1;0;0;0;0;5;0;4;0;0;0;1364;220;1144;1364;0;0;1152;180;16;11;4;1;0;435;82;834;12;1;0;109;14;95;109;0;0;58;44;4;3;0;0;0;43;11;54;1;0;0;9;0;1358;6;108;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;608;538;257;1;156;0;45;37;24;0;11;0;10;0;7;2;0;883;481;0;51;58;0;0;0;0;0;194;2;190;10;547;5;539;37;3;0;3;0
1.0;1636346;1;1;40;40;0;0;40;0;0;0;1646;1646;0;0;1646;0;0;0;32;5;27;32;0;32;0;32;0;0;0;0;0;0;0;0;0;26;5;0;1;0;0;0;17;4;8;0;1;2;32;5;27;32;0;0;26;5;0;1;0;0;0;17;4;8;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;32;0;0;0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;12;4;4;5;0;13;12;4;4;5;0;0;0;0;0;0;0;0;0;20;12;0;20;12;0;0;0;0;0;0;0;0;32;32;32;0;0;0;0;0;0;0;0;0
3.0;1631618;1;1;40;0;40;0;40;0;0;0;922;0;922;0;922;0;0;0;37;9;28;0;37;37;0;37;0;0;0;0;0;0;0;0;0;21;7;4;0;4;1;0;10;7;17;0;0;3;61;19;42;0;61;0;21;6;5;5;17;6;1;13;9;15;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;61;0;0;0;7;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;6;3;6;0;29;26;7;5;6;0;0;0;0;0;0;0;0;0;29;8;0;45;16;0;0;0;0;0;0;0;0;63;37;61;0;25;0;25;0;0;0;0;0
1.0;1636349;1;1;40;40;0;0;40;0;0;0;797;797;0;0;797;0;0;0;40;8;32;40;0;40;0;40;0;0;0;0;0;0;0;0;1;27;6;3;2;1;0;0;17;4;13;1;0;5;38;8;30;38;0;1;26;5;3;2;1;0;0;16;4;13;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;38;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;13;3;0;6;0;14;13;3;0;6;0;0;0;0;0;0;0;0;0;22;18;0;20;18;0;0;0;0;0;0;0;0;40;40;38;0;0;0;0;0;0;0;0;0
3.0;1379307;1;1;120;60;60;0;120;0;0;0;1992;762;1230;0;1992;0;0;0;110;33;77;50;60;110;0;110;0;0;0;0;0;0;0;0;0;63;21;11;5;8;2;0;32;17;57;0;1;3;329;89;240;158;171;0;182;80;28;16;17;5;1;96;49;169;1;3;11;38;7;31;23;15;0;20;9;6;2;1;0;0;12;4;20;0;0;2;110;0;329;0;38;0;22;10;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;61;25;9;33;0;167;152;72;17;65;0;12;12;9;1;7;0;34;0;85;25;0;264;65;0;29;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.0;60430;1;1;97;0;97;0;40;0;56;1;276;0;276;0;254;0;20;2;51;12;39;0;51;39;39;0;0;0;0;0;0;12;0;0;0;31;8;5;6;1;0;0;21;10;16;0;0;4;116;16;100;29;87;0;77;21;8;5;4;1;0;49;19;39;0;0;9;8;0;8;8;0;0;3;5;0;0;0;0;0;4;1;2;0;0;1;51;0;116;0;8;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;9;8;2;0;0;49;34;13;2;0;0;2;2;0;0;0;0;3;0;42;9;0;98;18;0;7;1;0;0;0;0;0;1;0;1;0;6;1;6;0;0;0;0;0
1.0;1341371;1;1;75;75;0;0;40;0;35;0;710;710;0;0;569;0;141;0;45;8;37;45;0;38;1;37;0;0;0;0;0;7;0;0;0;36;6;0;2;0;0;1;22;3;14;0;0;6;128;22;106;128;0;0;104;20;0;3;0;0;1;64;9;46;1;0;8;7;0;7;7;0;0;5;2;0;0;0;0;0;1;0;5;0;0;1;45;0;128;0;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;23;5;0;8;0;49;49;20;0;23;0;0;0;0;0;0;0;8;0;35;10;0;87;41;0;2;5;0;0;0;0;0;19;6;17;0;18;1;18;0;0;0;0;0
1.0;14137;1;1;38;38;0;0;37;0;1;0;282;282;0;0;278;0;4;0;36;6;30;36;0;35;4;31;0;0;0;0;0;1;0;0;0;33;3;0;0;0;0;0;24;3;9;0;0;0;138;13;125;138;0;0;108;21;6;1;2;0;0;87;8;40;1;0;2;7;0;7;7;0;0;5;1;0;1;0;0;0;4;0;3;0;0;0;36;0;138;0;7;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;22;14;0;81;57;0;5;2;0;0;0;0;0;58;12;55;2;27;1;26;1;0;0;0;0
