model;fold;train_time;mean_absolute_error;median_absolute_error;mean_squared_error;root_mean_squared_error
linear_reg;1;0.01937270164489746;0.07337009491231528;0.04727892945713204;0.014164604758896382;0.11901514508202887
linear_reg;2;0.021006345748901367;0.07856997822795848;0.059696585829760895;0.011699594546728063;0.10816466403926961
linear_reg;3;0.021021604537963867;0.0620954271526683;0.04844065813601513;0.006932127646572688;0.08325939974905348
linear_reg;4;0.020940542221069336;0.07586910950953527;0.04999336525434253;0.026675900244247715;0.16332758568058156
linear_reg;5;0.021146774291992188;0.07487864615585436;0.05791163592358944;0.013512467794594096;0.11624314084966086
mlp;1;0.5898807048797607;0.06845128303882361;0.050462835629858566;0.012752743938276483;0.11292804761562329
mlp;2;0.3473334312438965;0.062441482304764345;0.054918156976396744;0.007571968973534555;0.08701706139335294
mlp;3;0.39026808738708496;0.052621048783160304;0.048091777006942754;0.00474126573077918;0.06885684955601135
mlp;4;0.49216794967651367;0.059168622280439974;0.05710123572477903;0.005802801336234673;0.07617612051184199
mlp;5;0.37560606002807617;0.06661423171020006;0.05286762132530811;0.012294823533060485;0.1108820252929233
svm;1;0.01803731918334961;0.0803800525277823;0.06968186777388544;0.01276170231018553;0.11296770472212636
svm;2;0.019346237182617188;0.07471052585134695;0.07334317723479994;0.008361615117491878;0.09144186742128509
svm;3;0.018233060836791992;0.06607874989958851;0.06813664289754602;0.006251879291771405;0.0790688262956483
svm;4;0.018005847930908203;0.08243397493762594;0.09333195894318201;0.00820113911518174;0.09056014087434792
svm;5;0.012016057968139648;0.08417527491077623;0.07716388467855244;0.012972709924752225;0.11389780474070703
d_tree;1;0.00445556640625;0.07023214425089884;0.0501960192429894;0.013063964271936762;0.11429770020405819
d_tree;2;0.004739522933959961;0.06130019693630674;0.04918173808114814;0.007510484222181173;0.08666304992429688
d_tree;3;0.004534244537353516;0.052012556706437875;0.046491669005487964;0.004705834841359689;0.06859908775894684
d_tree;4;0.00460505485534668;0.0597781568882774;0.06272140565262085;0.005345851864914666;0.07311533262534382
d_tree;5;0.0045833587646484375;0.0667677990712579;0.04860301450475806;0.012354108373559044;0.1111490367639731
forest;1;0.6503636837005615;0.06544604763523815;0.040709765131034026;0.01240089763862653;0.11135931770007632
forest;2;0.6586971282958984;0.06255695604812357;0.04731688958050351;0.007768565783817661;0.0881394677985842
forest;3;0.649604320526123;0.04897486841933721;0.0379861918217209;0.0043396724021622065;0.06587618994873798
forest;4;0.6450216770172119;0.059285637027486175;0.05570643277024015;0.005479764411871953;0.07402543084556788
forest;5;0.6671791076660156;0.06654724008714867;0.047836713987174595;0.012268289318221472;0.11076231000760806
