model;fold;train_time;mean_absolute_error;median_absolute_error;mean_squared_error;root_mean_squared_error
linear_reg;1;0.08669686317443848;0.16166872801605145;0.12084035058480426;0.04772823956786492;0.21846793716210378
linear_reg;2;0.07252955436706543;0.1471831996989197;0.10200726442638873;0.04312973682131403;0.2076770011852878
linear_reg;3;0.0606536865234375;0.1375812109621711;0.11577658058534115;0.030486400203967437;0.17460355152163268
linear_reg;4;0.06569385528564453;0.1583060151663776;0.12050051330284789;0.04560055173486685;0.21354285690433863
linear_reg;5;0.10857629776000977;0.15120485612306075;0.11500137606494948;0.04396020794390044;0.20966689758734075
mlp;1;21.351415872573853;0.15185257131860166;0.11312685479871434;0.04117975054863037;0.20292794422806923
mlp;2;15.196926832199097;0.14210386642117495;0.10260215466960193;0.0380505219063651;0.19506542980847502
mlp;3;18.528740882873535;0.1289916141575125;0.10414833178719848;0.0277767006529959;0.16666343526099509
mlp;4;20.405239582061768;0.13859689067366796;0.10363732642896714;0.03471317521148124;0.18631472086628378
mlp;5;19.321595668792725;0.144667091938383;0.11241578609447511;0.03727402197347891;0.1930648128828216
svm;1;0.4564201831817627;0.14577298539491768;0.10840700607635964;0.04013963342870897;0.2003487794540036
svm;2;0.4239978790283203;0.13514405779520028;0.09532460434514106;0.03568603392613505;0.18890747451102893
svm;3;0.5118615627288818;0.12433797972775243;0.09565926530347936;0.026316646167061267;0.1622240616155978
svm;4;0.38736391067504883;0.14284212406810776;0.1187311052561746;0.03530219688168488;0.1878887886002911
svm;5;0.2684667110443115;0.13864900747984815;0.1109398816176416;0.035135938543792496;0.18744582829124926
d_tree;1;0.014210224151611328;0.14967301404826336;0.1211757908421205;0.03893842940293503;0.19732822758778085
d_tree;2;0.012261152267456055;0.14229540654723233;0.11143272507371;0.037448889773209044;0.19351715627615307
d_tree;3;0.01676487922668457;0.13420103239945047;0.10777285434149089;0.03043066680698877;0.17444387867445726
d_tree;4;0.013887166976928711;0.1583443589641109;0.12831589411629563;0.04243767202847114;0.20600405828155702
d_tree;5;0.012649297714233398;0.1406750792994064;0.10585386044675399;0.03627671378037252;0.19046446855088883
forest;1;1.650061845779419;0.14304365778770364;0.11506117854566869;0.035689288850577545;0.18891608944337573
forest;2;1.543320655822754;0.1361674229318179;0.11084784620233666;0.032669862206509276;0.18074806280153952
forest;3;1.5662922859191895;0.12681469431733483;0.09588427120640024;0.02765683127245663;0.16630343133097594
forest;4;1.563582420349121;0.14313819737526234;0.11999158382651477;0.03547126225173781;0.1883381593085634
forest;5;1.5748674869537354;0.13552139954270373;0.09863705736160636;0.033004997369631764;0.18167277553236139
