model;fold;train_time;mean_absolute_error;median_absolute_error;mean_squared_error;root_mean_squared_error
linear_reg;1;0.02296924591064453;0.277308635607688;0.15253909819075073;2.0569889911955777;1.4342206912451019
linear_reg;2;0.023987770080566406;0.1811686568698542;0.13665805924275903;0.05847143380767008;0.24180867190336677
linear_reg;3;0.02475905418395996;0.20837960883821094;0.1295015228336196;0.4512906517719599;0.6717816994917024
linear_reg;4;0.0239560604095459;0.1661357280815837;0.13168753808525083;0.048312776616424066;0.21980167564516898
linear_reg;5;0.02383732795715332;0.1633887185076552;0.12619641209428423;0.046631187142622564;0.21594255519147346
mlp;1;9.208017826080322;0.16696595921852067;0.13394888366762386;0.04722751862848023;0.21731893297290097
mlp;2;8.595705270767212;0.16324269465623562;0.11931440447923647;0.046379392666336235;0.21535875340077598
mlp;3;7.56925892829895;0.14376187450628286;0.10508143760806456;0.03499177057402669;0.18706087397963983
mlp;4;8.247114896774292;0.1505825395829107;0.11702658728098632;0.03719996233764041;0.1928729175847154
mlp;5;7.043673038482666;0.1422250571536258;0.11252054794632171;0.034959645476401326;0.1869749862318522
svm;1;0.14471030235290527;0.15457137807120055;0.11565677643686734;0.0444179660340528;0.21075570225750193
svm;2;0.07937955856323242;0.14995285961480118;0.11131244592602052;0.040886488659670886;0.20220407676323168
svm;3;0.08526062965393066;0.13806517309509567;0.10846620759854662;0.0341102727986391;0.18468966619342594
svm;4;0.07697629928588867;0.15027241635560715;0.125070952468144;0.03729652656739694;0.1931230865727786
svm;5;0.0787205696105957;0.14723524649096154;0.11274073172570478;0.03946226062188523;0.1986511027452031
d_tree;1;0.006006717681884766;0.16373708005480986;0.1253600925591352;0.04591705110553728;0.2142826430337681
d_tree;2;0.005896329879760742;0.15698105708764096;0.12734784582362108;0.042327586333860245;0.20573669175395098
d_tree;3;0.0059854984283447266;0.1564146963120345;0.12893897363171264;0.03982017882634873;0.19954994068239842
d_tree;4;0.0059108734130859375;0.15444319083800204;0.12113694731019067;0.03969966828725665;0.19924775604070588
d_tree;5;0.006119966506958008;0.15314977021942883;0.12198883976421414;0.03992695307921631;0.19981729924912986
forest;1;0.7273004055023193;0.15021540295086247;0.11556909220843647;0.038982704323324444;0.1974403816936253
forest;2;0.763038158416748;0.15012841917870864;0.11884210731551059;0.03809688065226148;0.1951842223445878
forest;3;0.7445387840270996;0.14354199184799074;0.11754688994998252;0.035468747537774674;0.18833148312954653
forest;4;0.7342524528503418;0.14967544039409322;0.12277211987049802;0.03756136280009231;0.1938075406172121
forest;5;0.7352688312530518;0.14172998678334342;0.1096727712750587;0.034591299096217214;0.18598736273257174
