model;fold;train_time;mean_absolute_error;median_absolute_error;mean_squared_error;root_mean_squared_error
linear_reg;1;0.042313337326049805;0.18131287994305667;0.13728378074863534;0.06644834909314072;0.25777577289796016
linear_reg;2;0.060288190841674805;0.44869871045370213;0.1308438010097401;3.433981288335307;1.8531004528452597
linear_reg;3;0.043668270111083984;0.1277862237941787;0.10234036336818125;0.029695937945422895;0.1723250937774963
linear_reg;4;0.0281369686126709;0.1373142066917715;0.11490792257208843;0.0353986852423633;0.18814538326082653
linear_reg;5;0.02287006378173828;0.42389880611991004;0.11026170034097971;2.415303436829781;1.5541246529251702
mlp;1;7.4560956954956055;0.17032058506153952;0.11855742514017278;0.06297938844589775;0.2509569454027877
mlp;2;6.293713092803955;0.1599790676193395;0.11541809659583388;0.04339781292413644;0.20832141734381618
mlp;3;8.447728633880615;0.1011833997293943;0.07702954460479208;0.017602322674878386;0.1326737452357413
mlp;4;5.912507772445679;0.12852893800859405;0.1066628300813785;0.028509843258448846;0.16884858086003815
mlp;5;5.622565269470215;0.14290147540801065;0.08765988089077761;0.0408069649115627;0.2020073387566964
svm;1;0.06893134117126465;0.13012364145302668;0.10830193939850614;0.03219823083472181;0.17943865479523025
svm;2;0.023305892944335938;0.1389336624757805;0.1174894444739984;0.03257040721484832;0.18047273260758348
svm;3;0.022877216339111328;0.08612253209108328;0.06752776974948593;0.0124886957200322;0.11175283316333506
svm;4;0.021903276443481445;0.10733488319392769;0.09894571044158856;0.01742382606018504;0.13199934113542022
svm;5;0.02098679542541504;0.12598243322408836;0.09681383647042965;0.029048283031435425;0.17043556856312425
d_tree;1;0.0047185420989990234;0.12297447618958832;0.08946815297317282;0.029017649713470966;0.17034567711999904
d_tree;2;0.0046503543853759766;0.13262157274563655;0.11991046521805115;0.030025491016695154;0.17327865135871515
d_tree;3;0.0047149658203125;0.09813473829096228;0.07647861629517852;0.016016660772826912;0.12655694675847276
d_tree;4;0.004513740539550781;0.10749174135276969;0.09073777502825278;0.017935367545538053;0.1339229911013716
d_tree;5;0.004559516906738281;0.13221583586980898;0.09590523165932624;0.03365287295082643;0.1834471939028407
forest;1;0.44052839279174805;0.11870804866170863;0.08444964309918218;0.026699497028453242;0.16339980730849485
forest;2;0.44298624992370605;0.12585750673318558;0.11055290912206046;0.027226741059340958;0.1650052758530495
forest;3;0.4254486560821533;0.08973382742352122;0.0692042925532995;0.013447472416572341;0.11596323734948219
forest;4;0.44405698776245117;0.10664864439095156;0.09244298247156521;0.01776448158917586;0.13328346329975022
forest;5;0.4251697063446045;0.12487684767173653;0.09362418757745636;0.02942536400804473;0.17153822899879995
